"id"	"text"	"org"	"time"	"lang"
"301522759885516_655171227853999"	"Great catch up today with Bernard & Liam from JP Corry in Derry.... Thanks for all your support xx"	"Macmillan NI"	1395422405	"en"
"267048219986944_665633880128374"	"Woodward Charitable Trust  The Woodward Charitable Trust favours small-scale  locally based initiatives and primarily one-off projects. They focus on arts  education  environment  disability & health  community and social welfare.    Scheme details  The Woodward Charitable Trust is a grant-making trust and is one of the Sainsbury Family Charitable Trusts. The Trust primarily funds charitable organisations in the UK. If we fund overseas projects it is usually via UK charities which can ensure that funds are being well used. We favour charities which make good use of volunteers and encourage past and current users to participate. The grants we make are for a wide range of activities.    Their current funding priorities include:  • Children and young people who are isolated  at risk of exclusion or involved in anti-social behaviour.  • Minority groups including refugees  gypsies and travellers. Projects that promote integration and community cohesion will be favoured.  • Prisoners and ex-offenders. Projects that help the rehabilitation and resettlement of prisoners and/or ex-offenders are supported as well as requests to help prisoners’ families.  • Disability projects  which can include rehabilitation and training for people who are either physically disabled or learning disabled as well as help to improve employment prospects.  • Homelessness  especially affecting young people and women  and covering facilities such as women s refuges.  • Arts outreach work by local groups involving disadvantaged people.  • Environmental projects  especially with a strong educational element.    The Trust prefers to fund small to medium-sized charities with an income of less than £300 000. The majority of our grants are for one-off projects although we may fund salaries and running costs. The Trust receives many more applications than it has funds to support.     For further information  see www.woodwardcharitabletrust.org.uk  or contact@woodwardcharitabletrust.org.uk."	"Supporting Communities"	1380292713	"en"
"141654136830_10151450900436831"	"#ThankyouThursday Thank you to the Kerr Group in Kilrea who raised over £1 400 at their May Quiz Night  Kenny Fisher & everyone at Enniskillen Rotary Club for their kind support!"	"Cancer Fund For Children"	1372938787	"en"
"504292489664000_587340121359236"	"Street Soccer NI added 211 new photos."	"Street Soccer NI"	1391097264	"en"
"282485720383_10156304187525384"	"We are absolutely delighted to announce we raised £750 from our Christmas Appeal this morning for Whiterock Children s Centre! Thank you to everyone who donated to the appeal and the money raised will brighten this Christmas for many families in West Belfast."	"Ortus Group"	1450445672	"en"
"301522759885516_673073122730476"	"Fantastic event coming up at The Royal Hotel Cookstown on Friday 16th May. The Gutherie Band will be performing and a great nights craic is sure to be had! Details attached."	"Macmillan NI"	1398874733	"en"
"267048219986944_453773561390924"	"LAW CENTRE (NI) NEWSLETTER AVAILABLE ONLINE  Law Centre (NI) e-newsletter Nov/Dec 2013 and January 2014 are available at:  http://www.lawcentreni.org/publications/enewsletter.html  In addition Law Centre (NI) has published its most recent edition of Frontline magazine.  It is also available online at:  http://www.lawcentreni.org/news/recent-news/38-featured-slideshow/1044-frontline-89-online.html"	"Supporting Communities"	1390426121	"en"
"504292489664000_1499723600120879"	"Match of the day today will be Northern Ireland vs South Africa pitch two 5pm Norway time so tune in at 4pm back home!"	"Street Soccer NI"	1504432300	"en"
"141654136830_10155317100176831"	"Can you spare 30 seconds to help make a difference to local children with cancer?  As well as being nominated by Sainsbury’s Ballymena to be in with a chance of becoming their new charity partner  we’ve also been nominated by the West Belfast store.  But we need your votes! Here’s how you can help us win...  1. Go to ➡️ www.sainsburyslocalcharity.co.uk 2. Search for the West Belfast store and hit Select  3. VOTE for Cancer Fund for Children ✅  Voting closes this Sunday 24th June! Don’t forget to share this post with family and friends. Thank you!   #sainsburys #charitypartner"	"Cancer Fund For Children"	1529510910	"en"
"301522759885516_841053662599087"	"This time last week the team of Transforming Cancer Follow up Macmillan Managers were getting ready to go to London and find out if they d won a Nursing Standard Award for improving cancer aftercare.  Well: they won and here s why.  Read Roy s story:  Roy  75-year-old Roy McCullough from Derry was diagnosed with prostate cancer 12 years ago.  He is one of the many people in Northern Ireland now living with cancer as a long term condition.  Back in 2002  he had to travel to Belfast for two months of intensive treatment  after which he says he felt “abandoned”.  He says cancer care and aftercare has been transformed over the past few years and patients now have more and more support to get back into their normal routine:   “Consultant oncologists aren’t available at the drop of a hat.  You may only see them once a year.    “The rest of the time I know now that  if I have any concerns  I can phone my Clinical Nurse Specialist and she’ll talk things through or get things rolling.   “I don’t want anyone thinking I’m on the phone all the time but knowing there’s an expert there to talk to is what’s important.”  Roy believes the role of Cancer Nurse Specialists is key to the success of the new system of aftercare and has joined a local support group for men going through treatment and living with prostate cancer."	"Macmillan NI"	1431010837	"en"
"62502980797_10155385866060798"	"A massive well done to the team at #ShimnaIntegratedCollege  who were recently awarded their OCN Level 2 certificates in Action Cancers  Listening Ear. These amazing young people will now be the new  Ears  for their peers within the school and able to support them emotionally and practically at a time they may need it most.  Action Cancer have now been working with the team for 8 years to provide this accredited training and subsequent service and would like to take this opportunity to thank you again for your ongoing support of the charity.  Pictured with the  Ears  are Aine Harrison and Danella Goodman  the training and assessment team within the school and Elizabeth Boyd  Services Support Officer for Action Cancer.   Well done again!!"	"Action Cancer"	1494320400	"en"
"141654136830_10153265669246831"	"A huge thank you to everyone who stepped out to support Saturday s #WinterWoollyWalk! We would love to hear what you thought of the day and would really appreciate it if you could take two minutes to complete the short survey below ..."	"Cancer Fund For Children"	1456933140	"en"
"141654136830_10155277331096831"	"“I was 12 when I first found I had cancer  two weeks before Christmas in 2014. I had a brain tumour so I needed surgery  as well as radiotherapy and chemotherapy.   “Because of my treatment I couldn’t do full days in school  but I tried to go as much as possible for the support of my friends and to keep myself positive.   “Because of where my tumour was  it pressed up against my optic nerves so I have no peripheral vision and I have no depth perception. When I first got diagnosed I was really insecure  I couldn’t go out by myself  and when friends went out I couldn’t go because I couldn’t see properly would feel really nervous.  “When I got to meet my Cancer Fund for Children Specialist Caitriona  it was amazing. She’d take me out and we’d get coffee or hot chocolate  and just talk about how things were going. I don’t know where I would be if I hadn’t had Caitriona to talk to  I wouldn’t have been as positive.  “Without your donations  the people who work at these brilliant charities wouldn’t be there. I know how much I’ve benefitted from Cancer Fund for Children’s services. Please donate to help these exceptional charities keep doing their life changing work.”  Your donations can really make a difference to young people like Rebekkah diagnosed with cancer.   Text TEN to 70144 to donate £10 or call 0800 60 50 40 to make your own donation over the phone.   Thank you!  #QRadiothon #TogetherWeCan"	"Cancer Fund For Children"	1527879601	"en"
"62502980797_10153480350975798"	"A big thank you to All-Tex Recyclers Ltd for all their support in the last year raising an incredible £68 500 through textile re-wear!   Read more on our website: http://www.actioncancer.org/About-Us/News-Media/News/Action-Cancer-Receive-£68-5K-from-All-Tex-Recycler    This year All-Tex will also being supporting our #shopschallenge event! Watch this space to find out more!"	"Action Cancer"	1437130997	"en"
"267048219986944_1377951592229929"	"It s not too late! The deadline to apply for the paid internship with the Housing Executive has been extended until Tuesday the 20th September. Read the criteria on our jobs page: http://supportingcommunities.org/job-vacancies/"	"Supporting Communities"	1473931600	"en"
"141654136830_10151846537466831"	"We are the Loughrans and we’re Winter Woolly Walkers because when cancer entered our lives everything changed. My daughter Aislinn missed out on a big part of her childhood. Playing with friends and going to birthday parties was replaced with hospital stays  operations and gruelling treatment regimes. Aislinn is now catching up and making the most of life. We couldn’t have got here without the support of NICFC which helped Aislinn and her siblings understand what was happening. Cancer is an awful illness and it’s important to raise awareness of NICFC so people know there is help available. Please join me and sign up to Winter Woolly Walk. Your efforts will help vulnerable families benefit from support services and free short breaks which will enable them to recharge their batteries and spend precious time together.  http://www.nicfc.com/event/winter-woolly-walk-for-daisy-lodge/"	"Cancer Fund For Children"	1391606101	"en"
"267048219986944_1163354207023003"	"Mars: Galaxy Hot Chocolate Fund   Grant value: £300   Deadline: 11:59pm on Sunday 28th February 2016.   Details: Galaxy Hot Chocolate Fund are looking to help small  local community groups and charities across the UK and Ireland by donating cash awards to support warm hearted people and projects. The Promoter will make five awards of £300 every week (approximate total monthly award of £6 000). Find out more on the website  https://www.galaxyhotchocolate.com/"	"Supporting Communities"	1452090924	"en"
"267048219986944_665634960128266"	"Women: Dealing with the Past Tuesday  8 October 2013 The Europa Hotel  Belfast 10.00am – 2.00pm Lunch will be provided This workshop will explore women’s experiences of Peace and how the legacies of the past can unite and divide us as women. Speakers for this event will include Dawn Purvis and Claire Hackett. Dawn  a former MLA  is Chair of Healing Through Remembering  a cross-community organisation working on a common goal of how to deal with the legacy of the past.  Claire Hackett  a community worker at Falls Community Council  has been involved in an oral history archive  Dúchas  documenting the experiences of the conflict in West Belfast  and is a board member of Hanna’s House  an all-Ireland women’s peace building project. Travel within the Greater Belfast area can be arranged for women’s groups / Women’s Centres – please contact Kelli on 028 9023 0212.  To register for this FREE event: RSVP by Monday 30th September to Shauna: info@wrda.net."	"Supporting Communities"	1380292871	"en"
"62502980797_10153427920370798"	"We are recruiting for an Administration Assistant to join our Fundraising team. Follow the link if you would like to know more about the role  or to apply. Closing date is 15.07.15."	"Action Cancer"	1435233452	"en"
"301522759885516_1082807898423661"	"Come and join our lovely walk around Roe Valley Country Park  Limavady this October. Thank you so much to our wonderful volunteer Malcolm Stuart for organising this. All proceeds are going towards our Western Appeal at Altnagelvin Hospital."	"Macmillan NI"	1471885248	"en"
"62502980797_10155386010710798"	"Action Cancer s FREE Breast Screening service is available to women age 40-49 & 70+   Why not tag someone who needs a check!   Appointments only last 5-10 minutes and could save your life!  Book online: www.actioncancer.org/appointments Book by calling: 02890 803344"	"Action Cancer"	1495731600	"en"
"267048219986944_958101460881613"	"Building Change Trust Civic Activism Programme  The Building Change Trust will launch its Civic Activism Programme on Wednesday  21st January 2015 at the Duncairn Centre for Culture & Arts in Belfast.   This programme aims to give Voluntary  Community and Social Enterprise organisations the opportunity to experiment with innovative approaches to engaging people in decisionmaking processes that impact on their lives.  To enable this  the Trust has compiled a Civic Activism Toolkit which features a directory of 29 innovative tools for civic activism work  drawn from around the world. In addition  the toolkit provides a series of civic activism tips and case studies from local practitioners.  For more information and to register for the event  go to:  http://www.buildingchangetrust.org/events"	"Supporting Communities"	1421679464	"en"
"62502980797_10155571842335798"	"Free Counselling Service in Limavady/ Derry/Strabane Action Cancer provides counselling to anyone impacted by cancer.  One lady said  Counselling has had a positive impact on all areas of my life over the last 6 months.  I got a safe space to discuss all my difficulties that the diagnosis of cancer raised.  When I first arrived my mental state was low and I was physically weak.  I am now at a good place physically and mentally.  The most positive part of Action Cancer was talking and dealing with issues as they arose through this very difficult period.   If you feel counselling would help you call 028 7127 7123 or 028 9080 3344 for an appointment today."	"Action Cancer"	1498669200	"en"
"267048219986944_1382346418457113"	"Good Governance and Charity Reporting Seminars http://supportingcommunities.org/latest-news/2016/9/19/good-governance-and-charity-reporting-seminars"	"Supporting Communities"	1474282415	"en"
"62502980797_10152652672025798"	"As people are taking their last opportunity to get away for some sun before the Autumn kicks in  we would ask you to watch this short  well made video. It will show you what your skin actually looks like  as seen by the sun – and the impact putting sunscreen on can have.   http://youtu.be/o9BqrSAHbTc  This summer already  Action Cancer have run 6 Safe Sun Roadshows  giving practical advice on the real impacts too much damage from the sun can do to your skin; how you can combat it  as well as giving out free sunscreen. All of this was made possible by Gordons Chemists  to whom we’re extremely grateful. "	"Action Cancer"	1409215245	"en"
"62502980797_10154986429985798"	"Cutting out alcohol and setting healthy lifestyle goals will have a positive effect on your overall health and well being.Get On the Wagon for Action Cancer and not only will you save lots of money - you will boost your energy and improve your health  feel fit healthy and refreshed - and help to save lives and support people affected by cancer. Get your free M.O.T Health Check when you sign up TODAY on 028 9080 3379 or events@actioncancer.org #SetYourIntentions #FeelFit #Healthy #Refreshed"	"Action Cancer"	1484076805	"en"
"301522759885516_577343892303400"	"Some interesting advertising for #CoffeeMorning on Woodstock Road today supporting+promoting @MacmillanCancer while you shop!"	"Macmillan NI"	1380042837	"en"
"62502980797_10156133550850798"	"Are your children struggling to cope with your cancer diagnosis?  Our children s services can help.  We provide free counselling and complementary therapy to children over the age of 5 who have been directly affected by cancer or a parent/close relatives diagnosis.  The services teach children coping mechanisms that help them deal with their emotions. To find out more go to our website www.actioncancer.org  Appointments can be made by calling Action Cancer on 028 9080 3344."	"Action Cancer"	1520359680	"en"
"141654136830_10154817990016831"	"Need a reason to pull on your Christmas Jumper this year?   Here’s 5 reasons why wrapping up warm and cosy is a great idea...🎄  http://www.cancerfundforchildren.com/news/five-reasons-all-wrapped-2/  #AllWrappedUp #ChristmasJumperCampaign"	"Cancer Fund For Children"	1510599638	"en"
"267048219986944_1363267790364976"	"Supporting Communities shared a post."	"Supporting Communities"	1472809804	"en"
"301522759885516_961541660550286"	"Want to see headline cancer figures in your health trust area?  Check out @macmillancancer Local Cancer Intelligence tool for Northern Ireland http://www.macmillan.org.uk/lci-northern-ireland   Thanks to Macmillan’s Evidence Department  Northern Ireland now has its own Local Cancer Intelligence (LCI) website created in collaboration with the Northern Ireland Cancer Registry (NICR).   The new LCI toolkit combines Macmillan and NICR data to bring together information on the changing cancer population across Northern Ireland health trusts  councils and tumour groups.    Designed with health service commissioners and cancer care teams in mind  it’s an easy-to-use  headline view of the key issues  from prevalence to patient experience  and is a great starting point for identifying future needs for local services.  You can access the site on your PC  tablet and mobile.   In the lead up to the Northern Ireland Assembly elections on 5 May  these detailed statistics will allow us influence decision makers and help commissioners ask important questions about cancer within their health trust area."	"Macmillan NI"	1454519809	"en"
"62502980797_10153923868620798"	"Gordons Chemists latest fundraising drive helps them smash through the £200K mark in their continuing 8 year partnership!   Staff and customers  have come together once again to raise an incredible £17 274 for Action Cancer throughout 2015  bringing their total raised to date for the charity  to over £200 000.  The continuing partnership between Action Cancer and Gordons Chemists has been a roaring success to date  engaging staff and customers in all sorts of wonderful ways to raise funds over the years  including sponsored cycles  raffles  onesie to work days and of course donned their pink wigs and tutus throughout October  for Breast Cancer Awareness Month.   Gordons Chemists have been huge supporters of both Breast Cancer Awareness Month (through their own Breast Action Day)  and Action Cancer’s Safe Sun campaign.   #ThankYou #Partnership #Proud #SupportLocal"	"Action Cancer"	1455184320	"en"
